timestamp,event,user,details
2024-07-01 00:32:00,AI튜터 사용,student4,수학 과제 #3
2024-07-01 00:40:00,과제 제출,student2,AI튜터 세션 30분
2024-07-01 01:12:00,로그인,student4,음성 인식 60초
2024-07-01 01:14:00,STT 사용,student3,AI튜터 세션 30분
2024-07-01 02:19:00,성적 조회,student3,수학 과제 #3
2024-07-01 02:25:00,AI튜터 사용,student3,6학년 1반 전체 성적
2024-07-01 02:36:00,STT 사용,student4,수학 과제 #3
2024-07-01 02:37:00,과제 제출,student1,음성 인식 60초
2024-07-01 02:48:00,과제 제출,student4,AI튜터 세션 30분
2024-07-01 03:02:00,AI튜터 사용,student1,음성 인식 60초
2024-07-01 03:15:00,과제 제출,student1,6학년 1반 전체 성적
2024-07-01 03:35:00,AI튜터 사용,student2,AI튜터 세션 30분
2024-07-01 04:15:00,STT 사용,student2,6학년 1반 전체 성적
2024-07-01 04:35:00,로그인,teacher1,음성 인식 60초
2024-07-01 04:42:00,로그인,student1,6학년 1반 전체 성적
2024-07-01 05:00:00,STT 사용,student5,6학년 1반 전체 성적
2024-07-01 05:01:00,AI튜터 사용,teacher1,음성 인식 60초
2024-07-01 05:22:00,과제 제출,student1,6학년 1반 전체 성적
2024-07-01 05:38:00,성적 조회,student1,음성 인식 60초
2024-07-01 05:42:00,성적 조회,student5,6학년 1반 전체 성적
2024-07-01 05:44:00,로그인,student3,6학년 1반 전체 성적
2024-07-01 05:56:00,AI튜터 사용,teacher1,6학년 1반 전체 성적
2024-07-01 05:56:00,로그인,student2,6학년 1반 전체 성적
2024-07-01 06:21:00,로그인,admin1,AI튜터 세션 30분
2024-07-01 06:23:00,과제 제출,student4,AI튜터 세션 30분
2024-07-01 06:25:00,로그인,student1,음성 인식 60초
2024-07-01 06:28:00,로그인,admin1,6학년 1반 전체 성적
2024-07-01 06:35:00,STT 사용,admin1,AI튜터 세션 30분
2024-07-01 06:36:00,AI튜터 사용,admin1,성공
2024-07-01 06:52:00,STT 사용,admin1,수학 과제 #3
2024-07-01 06:56:00,과제 제출,teacher1,6학년 1반 전체 성적
2024-07-01 07:05:00,STT 사용,student5,음성 인식 60초
2024-07-01 07:14:00,로그인,student3,음성 인식 60초
2024-07-01 07:16:00,STT 사용,student4,AI튜터 세션 30분
2024-07-01 07:25:00,과제 제출,student5,음성 인식 60초
2024-07-01 07:58:00,과제 제출,student2,수학 과제 #3
2024-07-01 08:01:00,성적 조회,teacher1,수학 과제 #3
2024-07-01 08:07:00,성적 조회,student5,6학년 1반 전체 성적
2024-07-01 08:35:00,로그인,student2,음성 인식 60초
2024-07-01 09:12:00,성적 조회,student1,수학 과제 #3
2024-07-01 09:16:00,성적 조회,student1,성공
2024-07-01 09:21:00,AI튜터 사용,admin1,수학 과제 #3
2024-07-01 09:22:00,STT 사용,student5,6학년 1반 전체 성적
2024-07-01 09:22:00,AI튜터 사용,student2,수학 과제 #3
2024-07-01 09:35:00,과제 제출,admin1,AI튜터 세션 30분
2024-07-01 09:35:00,STT 사용,teacher1,음성 인식 60초
2024-07-01 09:36:00,STT 사용,admin1,AI튜터 세션 30분
2024-07-01 09:48:00,STT 사용,teacher1,수학 과제 #3
2024-07-01 09:53:00,성적 조회,teacher1,6학년 1반 전체 성적
2024-07-01 09:57:00,로그인,student4,6학년 1반 전체 성적
2024-07-01 10:07:00,AI튜터 사용,teacher1,6학년 1반 전체 성적
2024-07-01 10:13:00,성적 조회,teacher1,수학 과제 #3
2024-07-01 10:20:00,STT 사용,admin1,성공
2024-07-01 10:22:00,AI튜터 사용,student4,AI튜터 세션 30분
2024-07-01 10:30:00,성적 조회,student1,AI튜터 세션 30분
2024-07-01 10:58:00,로그인,student5,성공
2024-07-01 11:19:00,로그인,student3,성공
2024-07-01 11:33:00,STT 사용,student3,6학년 1반 전체 성적
2024-07-01 11:33:00,성적 조회,student4,성공
2024-07-01 11:52:00,과제 제출,student2,6학년 1반 전체 성적
2024-07-01 11:55:00,STT 사용,student1,6학년 1반 전체 성적
2024-07-01 12:04:00,AI튜터 사용,admin1,AI튜터 세션 30분
2024-07-01 12:06:00,성적 조회,student5,성공
2024-07-01 12:41:00,STT 사용,student4,성공
2024-07-01 12:57:00,AI튜터 사용,student1,음성 인식 60초
2024-07-01 13:19:00,성적 조회,student5,성공
2024-07-01 14:09:00,과제 제출,admin1,음성 인식 60초
2024-07-01 14:13:00,과제 제출,teacher1,음성 인식 60초
2024-07-01 14:26:00,AI튜터 사용,student1,AI튜터 세션 30분
2024-07-01 15:13:00,AI튜터 사용,admin1,6학년 1반 전체 성적
2024-07-01 15:55:00,과제 제출,admin1,성공
2024-07-01 16:11:00,성적 조회,teacher1,성공
2024-07-01 16:39:00,STT 사용,student5,6학년 1반 전체 성적
2024-07-01 17:17:00,STT 사용,student2,AI튜터 세션 30분
2024-07-01 17:31:00,AI튜터 사용,teacher1,AI튜터 세션 30분
2024-07-01 17:34:00,과제 제출,admin1,수학 과제 #3
2024-07-01 17:35:00,AI튜터 사용,student3,성공
2024-07-01 18:02:00,과제 제출,student4,수학 과제 #3
2024-07-01 18:18:00,AI튜터 사용,admin1,음성 인식 60초
2024-07-01 18:22:00,과제 제출,student1,6학년 1반 전체 성적
2024-07-01 18:57:00,과제 제출,student1,음성 인식 60초
2024-07-01 19:12:00,로그인,student1,6학년 1반 전체 성적
2024-07-01 19:26:00,AI튜터 사용,student4,성공
2024-07-01 19:57:00,AI튜터 사용,student3,수학 과제 #3
2024-07-01 20:19:00,AI튜터 사용,student2,AI튜터 세션 30분
2024-07-01 20:24:00,AI튜터 사용,student1,수학 과제 #3
2024-07-01 20:32:00,로그인,student1,음성 인식 60초
2024-07-01 20:33:00,로그인,student3,수학 과제 #3
2024-07-01 20:36:00,과제 제출,student3,AI튜터 세션 30분
2024-07-01 21:35:00,STT 사용,student5,AI튜터 세션 30분
2024-07-01 21:44:00,로그인,student4,6학년 1반 전체 성적
2024-07-01 21:56:00,과제 제출,teacher1,음성 인식 60초
2024-07-01 22:20:00,과제 제출,student1,수학 과제 #3
2024-07-01 22:38:00,STT 사용,student2,음성 인식 60초
2024-07-01 22:49:00,AI튜터 사용,teacher1,6학년 1반 전체 성적
2024-07-01 22:55:00,과제 제출,admin1,성공
2024-07-01 23:00:00,로그인,student2,AI튜터 세션 30분
2024-07-01 23:29:00,AI튜터 사용,student2,음성 인식 60초
2024-07-01 23:30:00,STT 사용,admin1,6학년 1반 전체 성적
2024-07-01 23:54:00,성적 조회,student3,음성 인식 60초
